run,file_name,file_type,full_path,size_kb
run02,final_real_q1_figure_manifest.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/final_real_q1_figure_manifest.csv,0.43
run02,main_multiseed_results_live.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/main_multiseed_results_live.csv,2.71
run02,main_multiseed_results.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/main_multiseed_results.csv,2.71
run02,real_drift_group_ablation_summary.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/real_drift_group_ablation_summary.csv,0.19
run02,identity_drift_all_seeds.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/identity_drift_all_seeds.csv,409.47
run02,cross_emotion_results_all_seeds.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/cross_emotion_results_all_seeds.csv,31.97
run02,final_worst_cross_emotion_conditions.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/final_worst_cross_emotion_conditions.csv,1.35
run02,psd_baseline_results.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/psd_baseline_results.csv,0.3
run02,real_effect_size_significance_summary.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/real_effect_size_significance_summary.csv,0.48
run02,final_subject_level_drift_summary.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/final_subject_level_drift_summary.csv,0.37
run02,summary_mean_std_by_variant.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/summary_mean_std_by_variant.csv,1.45
run02,final_statistical_significance_tests.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/final_statistical_significance_tests.csv,0.54
run02,final_eer_vs_drift_cdt_summary.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/final_eer_vs_drift_cdt_summary.csv,0.23
run02,final_q1_figure_manifest.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/final_q1_figure_manifest.csv,0.2
run02,score_level_roc_det_summary.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/score_level_roc_det_summary.csv,0.14
run02,score_level_genuine_impostor_scores.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/score_level_genuine_impostor_scores.csv,23313.37
run02,final_drift_eer_correlation_stats.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/tables/final_drift_eer_correlation_stats.csv,0.15
run02,final_eer_vs_drift_with_cdt_ci_q1.png,.png,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/figures/final_eer_vs_drift_with_cdt_ci_q1.png,314.52
run02,input_file_hashes.json,.json,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/metrics/input_file_hashes.json,0.31
run02,full_validation_output.txt,.txt,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/full_validation_output.txt,18.41
run02,trainlog_arcface_supcon_cnn_seed0.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_arcface_supcon_cnn_seed0.csv,1.5
run02,trainlog_arcface_cnn_seed4.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_arcface_cnn_seed4.csv,1.39
run02,trainlog_arcface_supcon_cnn_seed1.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_arcface_supcon_cnn_seed1.csv,1.53
run02,trainlog_arcface_supcon_cnn_seed2.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_arcface_supcon_cnn_seed2.csv,1.49
run02,trainlog_arcface_cnn_seed1.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_arcface_cnn_seed1.csv,1.38
run02,trainlog_softmax_cnn_seed4.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_softmax_cnn_seed4.csv,1.39
run02,trainlog_arcface_cnn_seed3.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_arcface_cnn_seed3.csv,1.42
run02,trainlog_softmax_cnn_seed0.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_softmax_cnn_seed0.csv,1.34
run02,trainlog_softmax_cnn_seed3.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_softmax_cnn_seed3.csv,1.34
run02,trainlog_arcface_supcon_cnn_seed3.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_arcface_supcon_cnn_seed3.csv,1.49
run02,trainlog_arcface_supcon_cnn_seed4.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_arcface_supcon_cnn_seed4.csv,1.52
run02,trainlog_softmax_cnn_seed2.csv,.csv,/home/nvidia/24PHD1237/P4_SEEDV_COGNITIVE_BIOMETRIC/outputs/run_02_q1_validation/logs/trainlog_softmax_cnn_seed2.csv,1.35
